E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
COPS3	CKLF	LOC713492	KCTD17	DDX6	GPR37	LOC707842	ZNF19	BHMT2	LOC711340	LOC710913	LOC711696	LOC711412	RNF133	LOC100429504	AOAH	DTNB	ABCA5	GFM1	SEC24A	TDRD9	LOC717171	MINA	CEP78	MCM3AP	LOC709786	LOC703005	LOC698440	SRSF7	LOC698043	PIGB	TAB2	ST18	IL7	LOC722120	LOC708974	LOC100425545	ZNF169	AKR7A2	SLC45A3	PHF13	IFIT1
ERO1L	CRHR1	COL4A2	LOC716854	SETMAR	YAF2	PPAPDC2	LIPT1	CAPN14	MLF1	DHRS1	LOC708909	ABR	LOC697850	NOP9	CNOT3	PRKD1	FCHSD2	C8H8orf37	MOSPD2	POU3F4	TMEM248	VEZF1	CPNE9	ATP5SL	LOC697538	ASXL1	USP24	TAF7	SLITRK2	ABCB9	HS3ST3A1	TULP3	GFM1	HPS1	SEC61G	LOC699864	FAM43A	SDC2	GPC2	SFT2D2	DTL
LOC701612	TMEM176B	LOC706419	MDN1	LOC717646	LOC100429328	APOO	LOC705624	ITGB5	OTOR	SLC1A4	LOC709902	LOC697611	LOC706281	PEF1	ZNF786	RFX5	LOC707904	ABHD5	FZD9	FAM190B	LPXN	LOC100426567	LOC717043	LOC711803	GLIPR1	THBS1	EIF4B	CAMK2N1	HTRA3	LOC707831	CRYBA2	LOC100426447	CD151	LOC696112	HTR3A	NUF2	LOC712904	PHACTR1	LOC100425691	LOC703831	RABGGTB
LOC701688	LOC100424540	LPAR4	PRELP	LOC721932	ARID3B	RCE1	LOC717857	LIMK2	ERMAP	LOC100428076	DCTN4	SMEK2	FAM92A1	LOC697020	PIK3R2	RBMX	LOC708751	LOC699931	GADD45B	EPN1	LOC715459	CDCP1	ISG20L2	TMC7	UBL3	NOC4L	LOC709698	HSPB6	ART5	LOC710647	TGFB2	RCN1	GALC	LOC722912	RFC5	FOS	IL7	NPAS2	SOS1	FOXO3	CCDC157
LOC100423915	SLC1A2	LOC700137	MS4A8B	CENPC1	LOC719429	HBP1	KIF21A	MBOAT1	FARSA	LOC701239	KCTD8	GTF3C2	LOC713946	LOC721965	THAP7	PHKA1	LOC709540	DNAH7	KDELR2	CEP250	TNNI3K	LOC716022	LOC697073	LOC718873	ST6GALNAC6	CDR2	CD9	CPM	CCDC110	C1H1orf52	MAATS1	DIMT1L	RSAD1	SCARF2	UPB1	MTBP	LOC711485	DNAH7	TIRAP	LOC708733	TMEM205
SHISA2	LOC716932	ATXN10	UNC119B	LOC698081	CCL27	DNAJB6	LOC696882	PSMB10	SNTB1	CYP3A7	LOC100430829	LIMD2	SKIV2L	STEAP3	NCKAP1L	SNX12	DDX49	LRRC23	LOC100430313	GADL1	ELOVL1	ERG	BTBD1	RHCE	COL8A2	TBC1D23	KLHDC3	LOC100425286	LOC100428419	SNTB2	ABCB4	ZACN	LPAR1	C12H2orf88	LOC702097	GADD45A	ARRB1	CLYBL	EFCAB5	LOC100427905	ACIN1
NOC2L	STAT3	CAV2	ORAI1	THOC1	AAMP	LOC717920	LOC716239	LOC706629	HSPB11	LOC718144	RLIM	ZBED4	RABL6	COPS7A	WBP1L	ATXN1	NOL6	NKIRAS1	LOC704216	LOC100429129	LOC100424604	SESN1	ENTPD7	TTLL10	ARMC5	RNASEL	CMTM5	RAD54B	FRK	STOML1	FZD10	TCN2	PHKA2	TBC1D5	NDUFB5	LOXL2	MTMR3	DACT2	C9H10orf12	RNASEH1	LOC698029
SPAG11B	IL17RE	FAM82B	EDIL3	ZNF48	LOC716173	LOC100429602	NUDT12	LOC721561	MTA2	ANXA2	LOC715770	RAB6A	CD69	MAPK8IP1	LOC703490	NT5C	PITPNM2	C14H11orf87	HDAC5	QSOX1	DNAJC25	EEF1A1	CA4	DDX27	APBB2	LOC703120	GPR160	MVD	ZMAT3	H2AFY2	BAZ2B	UBXN4	PARP14	MAB21L2	ST3GAL1	GART	PGBD1	UBE2F	TBC1D14	LOC717757	IL6
EIF3I	SFXN2	BAMBI	PDP1	IGF2BP3	LOC709300	MRPL32	PDXK	CEP110	BRCA1	LSM12	NDUFV2	RFWD3	SMPD1	LOC711999	C4H6orf228	DCXR	ILKAP	AQP3	ZNF169	PAQR8	ALOX12	LOC707432	C6H5orf49	TIPRL	SNX15	MERTK	SLC5A7	FBXL18	LOC710077	LOC713468	LOC697233	IFT74	VRK2	SMAD1	CCNT2	ARPP19	RAD9A	NEK9	LOC697608	TREX1	GNG2
TPPP	LOC703498	FOLH1	C6H5orf63	LOC708258	WDR89	BAIAP3	LOC719560	CST6	LOC717705	LOC100428769	CLN8	CHI3L2	NAT1	UAP1L1	PYCARD	WNT7A	VWC2	RFC3	NR2E1	RELA	PARD6B	GJC2	LOC100423269	KPTN	LOC696943	WDR20	LOC716888	LOC696169	TMED3	AKAP3	DNAJC14	EPHB3	IKZF1	KDM6A	DSG2	FAM20B	NTN1	LOC696116	UBE2A	SOS2	LOC703794
GOSR1	LOC709540	CRISPLD2	SETD5	LOC721312	NUDCD2	KLHDC10	LOC100424074	LOC715481	CHD7	EHD4	OXSR1	LOC704215	MIA3	GATSL2	ZNHIT1	RRP7A	PCK1	ST6GALNAC5	ARF6	LAMA5	LOC708903	CCDC59	VPS35	SMC2	ALG8	PPP1R1C	GJC2	SASH1	ARHGEF10L	RNF149	ZNF22	TTLL11	ZC3H15	LOC703116	LOC714824	DPM2	NMNAT3	PHC1	NADSYN1	HSPA8	COLQ
GGPS1	PDE4DIP	ENOX2	MEGF10	TRNT1	ZNF185	LOC707723	ELP3	LOC704391	CHST11	RAPGEF6	LOC694819	CEP78	GPR176	SSH1	SPAST	NUBP1	LOC706419	SMARCAD1	ANXA6	SLC6A12	LOC716474	ARHGEF5	LOC693501	PRSS16	XPC	UCP2	RFESD	PAPD4	FSTL4	LOC708447	GCLC	IL13RA2	FAM189A2	ACVR2B	GALNT12	RAB18	LOC100423695	PVRL2	LOC712687	LBR	ASCL4
EFCAB5	LOC695487	TUBE1	LOC711305	MRPL1	GCFC1	SLX4	ZNF609	EXPH5	TBC1D14	TMEM219	LOC708204	CHST12	FZD9	MAP6	ATP1A2	ALDOA	KLHL28	TMEM20	TTC32	FGF2	USE1	PON3	MARCH1	ACP2	SETD6	MRPS27	SLC25A1	LOC100426360	ABHD14A	LOC709640	USP20	LOC719569	GALNT6	POR	ARHGAP33	LIMS1	STYX	DCHS1	LOC697718	LOC721795	LOC715688
PIK3IP1	LOC700258	RGS2	MEIS2	RBMS2	MED31	HNRNPL	ANKRD29	LOC711835	LOC722627	LOC715485	PSMG2	ZNF721	NCAPH2	SLIT1	FAP	F12	SLC46A1	C10H20orf24	GNL1	EGLN3	LOC715923	LOC709340	PCID2	ACTR3B	POSTN	CLIC2	LOC702847	LOC704994	SERPINB2	LOC722126	ANO2	EPHA5	TMLHE	HIST1H3D	ZNF335	TMEM27	ATAD1	SLCO5A1	TDRD9	SHKBP1	HSF2
MARCKS	GLO1	NOL4	MVK	GEN1	LOC711299	DUSP1	MEF2A	TRIM21	YBEY	ACACA	SH2D3C	ADCY7	LOC715581	ATG2A	LY86	TTC12	LOC701442	CRTAC1	METTL1	RABGAP1L	SLC5A11	COMMD3	FANCG	LOC709886	MYH8	UGT3A1	PIGT	C6H5orf34	ASTN2	NPPC	TMEFF2	LOC720510	CACUL1	GJC1	KANSL1	LRRC4	SLC20A1	MAP3K11	TUBB2B	SAMD4A	TWIST1
LOC703647	ATG4D	LOC696112	BTG3	NOX1	TAF10	GGH	MAP3K7	MINK1	PCYT1B	LOC696739	VAC14	AP4M1	PHC2	LOC712687	ACAP2	LOC100424434	SYNE2	LOC696739	XAF1	PRKG1	C5H4orf51	C8H8orf37	PRKACA	UXT	C13orf26	INPP5K	SDCCAG8	TK1	LOC709889	TSR3	CTSL2	IFIT2	LOC703934	RGMA	SNIP	RUSC2	DNAJC1	VRK1	LOC697073	LOC697977	HGS
DEPTOR	PRELID1	RHOB	APLP2	CAMK2D	USP7	LOC722715	MAOA	KIN	FDCSP	PAAF1	GART	PLXNB2	LOC100426700	PFN1	COBLL1	TRMT5	C15H9orf3	LOC710209	LOC699631	SFXN1	PDK4	TMBIM6	MMP3	BFAR	SH3GLB1	GPR20	HPGD	OTUB2	HERC6	ANKMY2	SCNM1	LOC100429284	LOC716530	MDM1	TRIM8	CCDC82	RAB4A	LOC719673	PLA2G6	HTR2A	HSBP1L1
LOC713147	MEIS2	ARHGAP26	LPIN2	MAP3K3	CLASP1	LOC716074	PAPOLA	ZNF658	CD244	NAA15	LOC721829	ABO	BTD	LOC696761	RABL6	ZNF862	LSM10	LOC100426774	LOC708164	LOC716722	C20orf103	TMEM38B	DNAJC2	TPH1	GJB6	MYO1D	STK32A	SLC4A3	RAF1	LOC718494	NRTN	CCBL2	TCN2	LIMS2	SARS2	TMEM31	SYVN1	SPCS3	PLCH2	LOC712618	BARHL2
DPP4	RXRA	THAP1	SERPINF2	ZMAT3	NTN1	FLVCR1	TENC1	OCLN	DSP	CALCRL	LOC715769	TEX10	LOC100430310	TMEM208	ETS1	HBA2	PLD6	UBE2V2	TEX30	TMEM47	LOC100424943	KERA	CLTC	LOC716252	ADAMTS10	ACCN3	LOC704640	KCNK5	TMEM159	DRAM1	LOC694702	LOC712335	LOC693626	MAP2K3	UCN	USP31	RNGTT	LOC100430842	IL25	C3H21orf62	CD244
CORIN	PLXNB1	PHKA2	KIF15	CD52	NFASC	C2H3orf14	SEPT4	CDYL2	ITGB1BP2	CDC16	RBM10	NAP1L4	SERPINH1	RASA4	KCNG3	SLC5A12	XPO4	XKR6	SLC22A15	RMI1	DIP2B	PNKD	SNIP	LOC705659	DDX17	MGMT	DENND2C	LOC694640	LOC716567	CAPN1	LOC712347	IL25	LOC100426812	SRM	LOC695217	SPOCK3	ZNF410	LOC709929	LOC708447	LOC696152	MYT1
TMEM126A	PABPC1	LOC711778	LOC100425809	NEIL1	PPP1R12A	BCAS1	AMPD3	NECAP2	TADA3	ABHD16A	NCOA7	DDX58	LOC719033	LOC704478	WNT7A	AHCYL1	MAPKAP1	ADPRM	ZNF638	LOC701238	LOC709140	GLYCTK	SCAPER	PDCD11	PIAS4	LOC720310	ASPHD2	HMGB1	LOC100428834	MICAL2	COMTD1	LOC717391	LOC713335	DLGAP3	ST8SIA1	IFT88	DCAF12L2	PSENEN	C7H14orf159	NAT1	GPRIN2
ZFP1	RAI14	NIPSNAP3B	LOC720183	LOC718882	LOC100430672	LOC723075	GALP	LOC720273	PHC1	LOC713344	LOC707198	TPR	LOC695599	MRPS18C	PLCB4	LOC714190	LOC715163	GABRG2	LOC714824	LOC715942	ZSCAN12	TRIM44	SLC4A5	LOC718665	EXOSC10	PAFAH1B2	LOC710721	ESF1	BCL10	NRCAM	INPP5F	FAM82B	UBL5	ST8SIA4	SNRK	UNC5C	RNF181	BTF3L4	WDR16	LOC100424149	LOC100424920
BARD1	LOC712939	ATG3	SNX33	TTC31	SRA1	C1QL3	ACSM5	CRB2	COMMD10	NEDD4	TRAPPC4	NAMPT	C4H6orf136	CRB3	ZNF24	LOC100423814	WNT8B	SEC13	CENPA	LOC695694	LOC699864	TJAP1	LOC712701	LOC694190	LOC100424791	LOC711043	LOC693599	DGCR8	ST3GAL1	HBEGF	NPEPL1	ZNF618	ANKRD40	CCT6B	LOC719544	SNAPC1	UAP1	LOC709053	KRR1	NFYA	LOC715247
ZNF267	LOC714069	LOC711485	SLC5A2	RASGRP3	LOC100426722	C15H9orf24	LOC100430552	SMPD2	PI4K2A	TPRG1L	NGFRAP1	ALG10B	GRHL1	LOC719540	LOC708566	RNF31	LOC701214	PHB2	CEP152	RND3	PLAC9	PMS1	FAM3C	GMPS	TATDN1	ZNF613	LOC709646	ZHX1	FBXO32	P4HTM	TCEA1	GPR56	TUFT1	OSGEPL1	ZNF85	CXHXorf26	PTH2R	EXOC5	RAB3D	LOC712354	LRRC3
PPPDE1	TLE2	EBLN2	GSX1	TXLNG	LOC695330	PRR5L	KCNE4	MAML1	HSP90AB1	PYROXD1	LOC721886	CEP72	LOC697718	MRGPRF	KBTBD10	PPID	MECOM	E2F7	LOC702847	LOC721470	CMTM5	VASH1	DDX6	OSBPL3	APH1A	PPP1CB	SIGLEC5	SGK2	SPINK5	FAM78B	RHEB	IGSF9	ZNF169	VAMP7	LOC700014	DNAJB11	ZAP70	IL13RA2	LOC718513	RCBTB2	LOC713579
LOC100425019	RRAS	NAV2	LOC699530	ADAM9	SMYD3	DARC	SSUH2	C20H16orf46	NKX3-1	WDR75	LOC695810	GNS	DDX1	ADAM9	C1QL1	MBNL1	LOC722745	LOC712303	LOC711011	SLC35F1	LOC715758	LOC100430276	GLDC	URI1	STUB1	LOC100425691	LOC701446	LOC701070	ADSL	SPAST	HIST1H2AK	PPP1R3D	CCDC8	PEF1	UQCR	MOBP	RALGPS2	PTK7	PFKFB2	LOC708067	GALNT12
CHRDL1	LRFN2	LIMK2	ZNF227	GLUL	EPCAM	GTPBP4	ARL9	WDFY3	HR	PECR	DIMT1L	PRPF19	LOC705537	ARRDC2	ALDH1L2	NDUFS8	LOC713858	LOC715459	CERK	SRSF7	OXGR1	LOC709699	DMRTC1	KCNJ3	TMX1	ASNSD1	MYO1D	TTC30B	GADL1	CYP3A5	LOC719891	NCKAP1	TEX14	MOSPD2	PIAS1	LOC721581	PIM3	ROM1	TBC1D16	LOC715269	DCAF12L2
SAP30BP	LOC716252	ZSWIM6	GREM2	TJAP1	MEX3B	LOC701214	LOC713636	CNGB1	NOP2	MAP3K7	TMEM106B	LOC710796	CRYL1	GNAI2	LOC710443	LOC100423480	LOC706015	LOC715341	SENP6	LOC100423211	LOC714684	PARP2	LOC722491	LOC100426613	LOC722045	PPIF	LOC697718	LOC699512	SLC7A13	NAGS	KLHL32	MIF4GD	MGAT5B	MCM8	ZNF34	LOC696417	BLOC1S1	PRTG	LOC697197	GPX8	BDP1
PELI2	SMAD6	IFITM1	PLXNB2	RFC3	ACSL3	KIF27	EIF2D	GNPTAB	RAGE	LOC714083	GABRA4	FDCSP	AREGB	ZSCAN29	COL6A3	LOC716408	C2H3orf62	LOC718993	LOC100427625	KRTDAP	CLTCL1	NINJ2	STARD5	RBM23	LOC721795	DNMT1	TAX1BP3	PDLIM1	TRIM28	FAT2	CHD1	ANAPC16	ITGA3	ZP2	DPYS	SLC25A24	LOC100428777	IFT74	CEP89	ARHGEF28	LOC718720
LOC704169	NPHP4	LOC696190	UPF3B	ZCCHC10	PAK1IP1	LOC706801	ASAH2	NAT2	ZNF704	LOC718903	USP1	TMX1	ODF2	CAV1	ZKSCAN3	CYBB	LOC722715	RAD50	TMEM97	LMAN1	STX12	NANOS3	FAM101A	PCDHA6	LOC696056	RBPMS	LOC717086	STK38L	F2RL2	FTSJD2	FAM188A	CORIN	TOPBP1	STAM2	BRMS1L	SLC6A17	TSHZ1	C15H9orf64	NAA20	PATL1	RANBP1
AIMP1	MAP1S	CHRNA5	HHIP	MYLK	REXO2	SLC12A5	LOC700270	GALNT12	EGFL7	MRPS28	AXIN1	ANKS6	GTF2F1	BEST3	LOC713322	MYO10	ZNF671	C4H6orf47	OPRM1	SSH2	C20H16orf46	EXOSC8	CSRP2BP	PRICKLE2	CSPG4	BRD3	MED14	LOC720282	NR4A2	CLMP	LOC715765	CEP192	KIF13B	GNMT	ADPGK	LOC721470	DNAJC24	STAT1	PKD2	C13H2orf18	AURKAIP1
GALNT6	TDRD9	SRPK2	LOC100424560	C3H7orf25	LOC718989	LOC697032	LOC695156	SPTLC3	ARCN1	EIF2C3	LOC716093	PI4K2A	FTSJ2	LOC711254	LOC715752	LOC717171	VASH1	LSM6	FAM43A	LOC707995	SCAMP2	C18orf55	LOC696973	LOC100427660	LOC718989	KIFC1	FAM110B	LOC721849	TMEM200A	LOC721627	FAM107A	KCTD7	CCDC34	LOC713684	ZBTB46	SMAP2	LOC711848	LOC716601	LOC712258	IAPP	PPP2R2C
LOC704173	LOC710658	LOC707625	LOC710784	LOC716074	MBTPS1	SDCBP	LOC701733	TOMM40L	DCLRE1B	RIC8A	RMI1	HDHD3	NUP210	LOC712305	TP53BP2	PLSCR2	NSF	GSC	TBC1D15	RARS2	LOC100427368	LOC710619	LOC703781	LOC709698	REV3L	REXO4	MYO7A	LOC694100	FREM3	TINAGL1	GPX1	CPA1	LOC701446	HIST1H2AK	WDR45	SREK1IP1	SLC5A3	STAT3	PALMD	LOC722572	LOC715793
GUCY1A2	PTPRN	PDHX	MARCH3	EOMES	LOC696317	NKAP	GRHL1	BCO2	NF2	KDELC1	POLR2C	CDYL2	TM4SF18	C15H9orf64	LOC697611	LOC719551	SPSB3	SIAE	LOC719604	LOC712599	AOX1	DNTTIP1	UBE3B	ABCB7	ROR1	MTMR11	SYNE1	MIPOL1	PTPN4	LOC703270	LOC718537	RAD54B	ZNF354B	SNRNP40	LOC721685	PDE8A	UCHL3	PYROXD1	LOC715666	MAML2	CLDN10
YWHAB	RPL27A	CMYA5	RPS3	KLK6	FBXO21	C13H2orf18	ADAMTS14	LOC100429949	LOC702153	LOC714723	ZNF84	SAMSN1	KIAA1486	LOC695722	LOC714372	CHRDL2	HSPA12A	APLP2	SYP	NTNG2	LOC706461	MMP16	SHQ1	SLC25A39	PARD3	LOC715892	SHROOM3	LOC100430625	LOC718857	LOC100425801	TAX1BP3	ZNF652	LOC706336	TIPARP	ZNF445	G0S2	MCEE	VEZF1	MCC	COL2A1	NTS
LRIG1	ABCB1	BRD1	HSPA8	LOC717766	LOC703722	PLEK	C13H2orf15	WBP5	NRTN	PFDN1	MANBA	LOC716903	LOC715112	LOC695694	CD81	CD53	LOC701559	ATP11A	GSC	LOC717813	LOC717993	LOC100426088	BSDC1	TRIM37	TLCD1	ADAMTS10	LOC711920	CDH8	LOC703498	LOC706873	C9H10orf11	LOC717766	LOC712272	LETM2	GTF2H2	TNNC2	STT3A	BTBD16	SCOC	AGER	SNX11
LOC701621	CNTROB	ATPAF2	ELMSAN1	CYGB	LOC703244	RYK	CRABP1	CAV2	VPS18	RALY	OAZ2	IARS2	SRPK1	SH3BP1	METTL3	LOC715195	CLDN6	GANC	COX8A	ATP6V0A2	MMP1	LOC717757	CCDC67	JUNB	DHODH	SDHD	LOC716722	LRRFIP2	NDUFS4	CDYL	LOC708341	NUDT5	URB2	MAMU-DRB5	LOC707795	PDCD11	SYNM	KCNV1	LOC100426729	ZNF300	LOC695085
ZNF583	LOC700029	DNM2	IFNGR2	XAF1	KRT12	DGKH	DAP	WDR49	MTM1	FTSJ1	ANKRD53	ZNF17	LOC721400	PRSS12	DBX2	GPR180	STMN4	LOC709698	LOC709698	PFDN5	DACH1	PDGFB	MPP6	LOC711250	C19orf61	KCNJ10	CTNS	MDM1	CCDC127	LOC710052	TRIM8	COQ7	ISG15	AURKA	ADAMTS3	UBN1	TSC2	CHD7	ZNF238	SORD	MYO1C
PTHLH	RGS19	XRN1	LOC100424753	IRGQ	PRPF40A	RASSF4	NHLRC3	CTNND1	CRYL1	PELP1	CCDC3	FZD6	AIM1	UBE2T	LOC100427231	ADCY8	LOC696882	SPTBN2	DNAJC24	CYS1	KLK15	AHSP	SAFB	SLC6A17	EPN2	FAM109B	ERBB2	LOC100429705	UPB1	LOC100423163	ZNF185	LOC706509	COL8A2	MURC	ZNF526	TNFAIP6	LOC721163	CLTCL1	SETD3	CNTNAP5	PPID
ZCCHC12	CAMKK2	ECE2	LOC100424666	LOC707198	ZNF347	LOC702306	SULT2A1	MBD2	SPP1	NUCKS1	LOC710588	ORMDL1	LOC708018	LOC710534	TYROBP	COL4A1	SERPINB5	LOC100424692	LOC719067	KRBA1	PLEK	PTX3	SPON2	GLYCTK	HRH3	TMPO	TNC	DGKA	LOC700258	PLXNA4	HKDC1	DEGS1	GRK7	SSH1	YSK4	NMT1	SLC1A5	HIPK2	VKORC1L1	RHBDD3	RSBN1
PLEKHF2	PCGF2	KIAA0368	TRMT61B	C11orf17	FAM20B	LOC100428826	WIPF3	RAB3IP	LMOD2	LOC713835	ACOT13	SMIM4	E2F4	ZBED3	CHMP2A	LOC696907	YIPF4	PUM1	GTF3A	SPINK5	GIMAP8	MYH8	LOC713785	SPSB3	EEF1A1	ABCD3	NPAT	AIRE	LOC100430420	KCNAB1	CCM2	LOC693626	PDLIM1	RAB5A	LOC721991	LOC719419	LMAN2L	ANXA3	SORD	CTDP1	LOC720154
MYH11	EIF4B	TET1	PRDM1	ECI1	DDX27	LRRFIP1	ZNF215	HAS1	IL17RB	GSTCD	RIT1	RPP30	ESPL1	LOC696224	CCND3	AMT	ESR1	LRRC42	LOC705220	COL4A1	SNX31	TXNDC5	ACO2	LOC100427011	ZNF585A	KCNA6	LOC703830	WNT10A	ANKH	LOC696956	RAPGEF1	DERA	EPS8L1	IMPA2	RNF133	PTP4A2	TRIM24	CDC27	CD40	GANC	F8
XKR6	DIO1	LOC717040	LOC100429858	RGS11	EVI2B	LOC715752	LOC706873	B9D1	WNT7B	LOC100428825	PHF3	LOC716633	PABPC4	GCDH	C13orf15	LOC699032	SNW1	SLC10A3	LOC713237	CLEC1A	LOC712642	SLC15A4	OAT	LOC713905	GPR20	MESP2	LOC707118	ATF3	LOC717514	SLC26A2	STON1-GTF2A1L	YIF1A	RSRC1	SETDB1	GRM5	ATP13A2	LBH	LOC694472	DIP2B	PRKRIR	MAEA
LOC716031	DDX54	LOC703985	CD6	C7orf16	LOC719089	TMEM132A	MAML1	PHTF2	ARX	LOC706004	ZFP90	SATB2	RPS21	REC8	FKBP7	UBE2C	SAE1	TMEM67	HOPX	HSBP1	CBX3	HPGD	OPN1SW	LRMP	LOC714785	SMARCD3	AGXT2L1	CHUK	ENKD1	LOC712082	LOC716146	ACLY	SYK	TRIM39	AGR3	GDAP1	PSMD11	LOC100429729	ZNF345	LOC100423317	LOC699793
RNF144B	PER1	KCTD3	LOC720209	CTSH	DGKB	EPC2	LOC703957	RUFY3	DDIT4L	GRIA1	CLDN10	ZNF32	LOC703896	LRIG3	LOC706437	RECQL5	RACGAP1	TRAPPC4	AKAP13	CD69	GEMIN4	LOC717671	URI1	LOC705534	PFDN1	LOC702990	LOC714244	PFKFB3	GDNF	GALNT11	BZW2	TMEM167B	ALDH1L2	OSBPL11	CHRNA4	LOC707438	OLR1	NT5DC2	KLKB1	PITPNA	RAPGEF4
ABAT	RALGDS	LOC721669	LOC701085	ZNF503	NHLRC1	LOC100424882	TTLL11	VPS54	SLC39A10	PLEKHF2	SLC25A3	GPCPD1	MPO	NUP188	ADCYAP1R1	LOC701145	RAB4A	DGKH	LOC713530	ECE1	LOC699605	LOC716604	NFKBIE	LOC716237	LYN	NUP93	C1H1orf64	IGF2BP2	LOC709640	KLHL9	LOC712403	GATA2	SEZ6L	IFRD1	LOC704540	MSTN	DGKH	TNFRSF21	LGI3	PPP1R12C	PHF19
SYT11	TTLL4	LSM7	RAB1A	TANC1	LOC699864	HPCA	CAMSAP1L1	SMPD3	LOC693820	MRPS18B	OCEL1	CEP290	LOC711772	P2RY2	KIAA2026	ARFIP2	VRK1	SRSF4	LOC711575	C7H14orf119	LOC707600	BRF1	PUS7	LOC100427469	SS18	IMPA1	RECQL	AXIN2	LOC716916	LOC100426317	GPR161	CCNH	LOC698029	HK3	TSPYL5	HIGD2A	P2RY1	XPC	CRYBA4	LOC714417	LOC100423740
TRAF3IP2	NXPH3	ACSL4	PODXL	SLC15A3	WBP11	LOC100425545	E2F2	RHOC	TMEM155	LOC712386	C8H8orf40	KRT34	KCNV1	TSHZ1	PDLIM7	ARX	SDCCAG8	TARBP2	LOC717477	LOC695301	LOC697570	KDELC2	UBE2F	TTI1	ARHGAP6	IL6ST	DNAJC15	COX14	PPRC1	SETBP1	PHF10	ARHGAP42	DNALI1	CLIC4	LYVE1	TBRG4	SLC6A6	SOX10	CEP350	CYP19A1	LOC709287
SYT14	ELOF1	LOC696987	DYSF	BVES	HRH3	LOC707198	KCNMB1	HLX	HSPB3	ZBTB45	LMO7	DAP	PXMP2	SRPX	ADORA3	CDYL2	PIWIL1	LOC719429	MMP3	PTN	LOC693361	NDUFAF6	NDUFB7	LOC718144	LOC720233	KLHDC2	GCG	HRSP12	LOC716080	FEZ1	PEG3	DZIP1L	LOC706847	MSRA	FRK	NOC3L	EBLN2	LOC701145	EVI5L	LOC703598	LOC713730
VRK2	FHL2	TGM7	LOC710443	MYH9	TXNDC17	LOC100425521	LOC713524	TRIM45	NGFR	C9H10orf2	CLDN3	GRLF1	LOC716168	LOC716331	PMAIP1	ABI3	LOC100424963	SLC6A7	GPR3	SIT1	LOC100429533	TBC1D4	BRCA2	RORB	PLAC9	AIG1	GSX1	CNTN2	LOC704161	LOC694310	LOC699880	C1D	CDH13	NKG7	LOC694038	PAK1	GPR89B	LOC714071	ABL1	FBXL13	KLKB1
LOC710257	TMEM26	CHI3L2	G6PD	DCTN3	NRDE2	HCST	COL4A3BP	PHC3	GRM6	MAMDC4	DAPK1	LOC721911	RPS4Y1	CLMN	SMURF2	ADRA2A	ARMC2	NKD2	APOBEC3H	LOC704215	C7	TLR7	TLL1	CDYL2	ALDH1L1	NCK1	SHMT1	ARGLU1	IAPP	RNF138	LOC708733	LOC695968	CLIC5	LOC716998	TMEM67	RFC2	LOC710786	EIF2D	SLC16A1	AASS	ARHGEF16
PCID2	FAM181B	SLC4A1AP	PIK3C3	STRAP	ZNF143	CHD2	NKX2-1	ADAMTS7	LOC717315	FASTKD2	ATP5SL	CEP110	ORC3	LOC722126	NUP153	LOC719560	LRIG2	LOC100428589	TRAK2	SIL1	POMT1	LGR4	LOC100426884	PPIH	GSX2	LOC100426724	RALGAPA2	CNTLN	MRPS11	SEPW1	BCCIP	LOC716825	CDC16	TMEM254	TYRO3	LOC712473	B3GNT5	ZNHIT3	HSD17B6	CEP44	NDUFAF4
LOC721178	LOC705534	ZNF502	LOC100424604	ANAPC11	FMR1	LOC698477	REXO2	HSPBAP1	LOC718353	TUFM	NPAT	TEKT1	ZFP14	PDE1B	CLUL1	SLC2A13	PCDH7	LOC703920	FBXO32	APLP1	KIAA0247	GSKIP	BFSP1	CREG2	LOC699381	BRD7	MAPRE1	TRIM68	SNRPA1	EPHB6	GPC2	PTH2R	LOC100426346	RGS19	INCENP	LOC712994	BFAR	FAU	SLC38A10	MARK3	ZP2
SHROOM3	CDK13	C7H15orf59	ITGA4	LEPR	SF3B14	CDK2AP2	LOC703604	TBC1D13	TTF2	LOC704870	RPA3	ZNF445	CHRNE	TNKS1BP1	BIN2	ABR	LOC100429782	PRKDC	MELK	SEC24D	NPY2R	TRIM49	LOC713183	MAL	PTGFR	HTR3A	PLCH2	LOC695826	VAV2	PDLIM1	TBRG1	GMNN	PTPDC1	FHL3	HAAO	LRRK2	BTF3	PRKCA	HPGD	CIP29	RAB1B
